"Rk","player_name","Nation","Pos","Squad","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","market_value_euro"
72,"Joe Bryan","eng ENG","DF,MF","Fulham",26,1993,16,7,669,7.4,1,0,1,1,0,0,2,0,0.6,0.6,0.3,0.9,13,31,33,0.13,0,0.13,0.13,0.13,0.07,0.04,0.12,0.07,0.12,NA
73,"Kean Bryan","eng ENG","DF","Sheffield Utd",23,1996,13,12,1004,11.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5,7,22,18,0.09,0,0.09,0.09,0.09,0.08,0.05,0.14,0.08,0.14,NA
74,"Oliver Burke","sct SCO","FW","Sheffield Utd",23,1997,25,14,1269,14.1,1,1,2,1,0,0,2,0,2.1,2.1,2.2,4.3,30,19,108,0.07,0.07,0.14,0.07,0.14,0.15,0.16,0.31,0.15,0.31,NA
75,"Dan Burn","eng ENG","DF","Brighton",28,1992,27,23,2061,22.9,1,0,1,1,0,0,5,0,1.5,1.5,0.8,2.3,34,87,73,0.04,0,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.1,1.2e+07
75,"Dan Burn","eng ENG","DF","Brighton",28,1992,27,23,2061,22.9,1,0,1,1,0,0,5,0,1.5,1.5,0.8,2.3,34,87,73,0.04,0,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.1,1.2e+07
76,"Jack Butland","eng ENG","GK","Crystal Palace",27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000
77,"David Button","eng ENG","GK","West Brom",31,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
78,"Oskar Buur","dk DEN","DF","Wolves",22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
79,"Willy Caballero","ar ARG","GK","Chelsea",38,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
80,"Gary Cahill","eng ENG","DF","Crystal Palace",34,1985,20,20,1800,20,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.4,3,46,0,0.05,0.05,0.1,0.05,0.1,0.04,0.03,0.07,0.04,0.07,NA
81,"Tom Cairney","sct SCO","MF","Fulham",29,1991,10,9,759,8.4,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,22,72,25,0.12,0.12,0.24,0.12,0.24,0.06,0.13,0.19,0.06,0.19,NA
82,"Dominic Calvert-Lewin","eng ENG","FW","Everton",23,1997,33,32,2871,31.9,16,0,16,16,0,0,3,0,16.3,16.3,2,18.3,36,46,160,0.5,0,0.5,0.5,0.5,0.51,0.06,0.57,0.51,0.57,4e+07
83,"João Cancelo","pt POR","DF,MF","Manchester City",26,1994,28,27,2299,25.5,2,3,5,2,0,0,5,1,1.6,1.6,4.6,6.2,80,200,150,0.08,0.12,0.2,0.08,0.2,0.06,0.18,0.24,0.06,0.24,6.5e+07
